trip_id,zone,payment_type,passenger_count,trip_distance,fare_amount
114,South,Wallet,5,2.37,16.78
115,East,Card,4,6.52,17.3
116,West,Card,5,8.58,6.82
117,East,Card,5,5.44,32.46
118,Downtown,Card,2,4.99,62.47
119,Airport,Cash,1,5.19,33.34
120,Airport,Cash,3,11.83,24.13
121,Central,Cash,2,3.45,19.48
122,South,Card,5,2.28,15.17
123,South,Wallet,5,2.71,20.26
124,North,Cash,1,4.82,35.24
125,South,Card,4,5.99,15.99
126,Central,Card,2,9.58,39.25
127,Downtown,Card,1,12.36,11.06
128,Suburb,Card,1,2.31,15.87
129,South,Cash,4,1.82,23.61
130,East,Card,4,12.47,15.59
131,Airport,Cash,3,3.78,31.55
132,Airport,Card,5,1.9,58.35
133,West,Card,2,5.0,24.39
134,Central,Card,1,11.83,39.21
135,Downtown,Card,1,1.29,14.94
136,South,Card,2,7.8,16.44
137,Airport,Card,1,11.33,12.9
138,Airport,Card,4,2.23,37.14
139,Downtown,Cash,1,5.82,48.01
140,Downtown,Card,5,4.39,16.24
141,Central,Card,5,17.5,14.22
142,East,Cash,3,4.73,15.08
143,South,Cash,1,9.49,45.76
144,North,Card,4,3.2,25.75
145,South,Cash,4,5.01,14.39
146,Downtown,Card,3,6.36,10.8
147,North,Wallet,3,10.11,35.01
148,East,Wallet,5,2.72,15.65
149,West,Wallet,4,4.11,42.08
150,East,Wallet,4,4.49,15.05
151,West,Card,4,3.41,21.8
152,Airport,Card,5,10.17,22.77
153,West,Cash,5,1.07,41.33
154,North,Cash,4,3.59,28.48
155,West,Cash,3,3.7,21.86
156,Suburb,Wallet,5,5.41,19.87
157,Downtown,Wallet,4,2.74,34.32
158,East,Card,1,1.87,23.8
159,West,Card,3,8.36,15.2
160,North,Wallet,2,8.95,22.09
161,West,Cash,3,1.41,21.32
162,East,Cash,1,6.14,26.55
163,East,Wallet,3,6.53,43.9
164,Central,Card,1,11.12,10.89
165,South,Card,5,8.09,23.64
166,Central,Card,4,8.35,14.1
167,Suburb,Card,3,3.88,59.33
168,East,Card,4,4.83,10.64
169,Airport,Cash,4,4.29,28.33
170,Airport,Cash,4,7.05,20.69
171,South,Card,4,1.41,11.12
172,North,Cash,5,3.9,14.18
173,Downtown,Card,4,2.1,7.29
174,West,Cash,1,11.05,58.52
175,Downtown,Card,4,4.4,19.97
176,Airport,Cash,3,3.74,15.37
177,Suburb,Card,2,1.81,11.11
178,West,Card,1,1.67,41.05
179,Airport,Card,5,3.52,14.99
180,Downtown,Cash,3,1.46,22.7
181,North,Card,1,9.15,25.68
182,Suburb,Card,3,4.54,35.29
183,West,Card,5,11.46,21.7
184,Downtown,Card,5,4.54,21.97
185,Downtown,Card,3,7.41,14.49
186,North,Card,2,10.03,6.3
187,Airport,Cash,5,2.82,27.11
188,West,Card,5,5.85,22.42
189,Airport,Card,3,7.27,25.6
190,South,Cash,3,16.0,18.84
191,Suburb,Card,1,1.14,10.8
192,West,Wallet,3,3.38,14.14
193,Downtown,Cash,5,2.76,30.71
194,Downtown,Wallet,2,2.63,10.01
195,North,Cash,2,6.87,29.19
196,South,Cash,1,1.25,16.35
197,West,Card,3,1.42,61.99
198,West,Card,2,6.15,24.1
199,Suburb,Cash,5,4.53,24.98
200,West,Card,1,6.0,22.83
201,South,Cash,4,5.88,14.92
202,Central,Card,1,10.52,40.0
203,West,Cash,4,5.44,15.47
204,Central,Wallet,3,6.65,13.37
205,East,Card,4,7.62,35.56
206,East,Card,4,5.64,13.82
207,Airport,Cash,5,2.33,12.22
208,West,Wallet,1,3.75,30.58
209,East,Card,4,6.15,10.99
210,South,Card,2,1.36,7.75
211,Suburb,Cash,2,9.42,6.95
212,Airport,Card,2,6.23,19.2
213,Central,Wallet,3,6.21,14.33
214,East,Cash,5,3.28,12.8
215,Suburb,Card,4,4.19,19.62
216,West,Card,2,15.47,17.13
217,Downtown,Card,3,7.58,34.53
218,Central,Cash,1,4.61,20.48
219,Suburb,Card,5,4.52,33.41
220,Downtown,Wallet,3,4.82,20.84
221,Airport,Card,3,18.55,16.99
222,Central,Card,1,3.57,15.12
223,North,Card,1,7.16,20.75
224,Downtown,Card,5,8.19,9.89
225,Central,Card,4,0.89,34.39
226,North,Cash,5,4.73,25.77
227,North,Card,3,8.99,24.98
228,Suburb,Cash,2,4.23,20.84
229,Suburb,Card,3,4.12,29.78
230,East,Card,1,3.55,29.3
231,Central,Cash,1,2.54,37.28
232,South,Wallet,2,2.64,10.79
233,North,Card,4,9.34,11.78
234,North,Card,5,3.67,26.26
235,East,Card,3,6.58,31.34
236,South,Card,4,4.72,34.36
237,Suburb,Card,1,6.19,15.98
238,Suburb,Cash,1,16.32,35.83
239,Central,Card,1,4.4,16.69
240,Suburb,Cash,1,8.07,8.33
241,North,Cash,3,8.18,14.44
242,Airport,Card,4,22.38,17.42
243,Airport,Card,2,5.2,38.5
244,Central,Card,1,4.79,18.21
245,North,Wallet,2,4.84,30.08
246,East,Card,1,2.05,26.96
247,Downtown,Card,4,1.31,27.45
248,East,Cash,4,2.49,39.03
249,Suburb,Wallet,2,7.23,16.97
250,Downtown,Card,2,3.94,14.15
251,South,Card,2,14.0,21.36
252,North,Card,1,2.66,10.94
253,Central,Card,1,3.73,14.87
254,West,Card,1,0.97,28.95
255,East,Card,1,5.53,61.0
256,West,Wallet,3,7.51,8.6
257,East,Card,3,6.44,24.5
258,South,Cash,2,8.7,37.56
259,Suburb,Wallet,5,15.78,9.2
260,West,Card,2,4.68,12.89
261,East,Card,5,5.69,19.06
262,West,Card,5,1.87,11.68
263,Downtown,Card,2,7.84,11.75
264,North,Wallet,1,1.2,10.8
265,North,Card,1,6.34,27.29
266,South,Card,1,4.3,28.01
267,North,Cash,3,5.22,79.13
268,North,Card,5,7.34,16.76
269,Suburb,Card,4,5.05,35.88
270,Airport,Card,4,0.95,17.92
271,East,Card,2,3.3,24.98
272,East,Cash,4,4.37,15.46
273,West,Cash,2,6.37,24.78
274,South,Card,1,6.86,38.83
275,Central,Card,4,6.06,35.97
276,West,Card,1,4.7,37.19
277,West,Card,5,7.41,16.49
278,Downtown,Card,1,5.92,19.69
279,South,Card,3,8.23,7.67
280,West,Card,1,2.14,14.17
281,Central,Cash,3,11.2,16.06
282,West,Wallet,5,3.11,36.84
283,Central,Cash,3,7.71,40.63
284,Airport,Card,3,4.86,27.09
285,Suburb,Wallet,5,5.34,23.46
286,Airport,Cash,5,5.4,19.87
287,East,Card,4,2.78,23.09
288,Airport,Cash,4,15.99,39.06
289,East,Card,3,2.7,8.07
290,South,Cash,2,3.98,17.42
291,Suburb,Card,1,8.9,10.91
292,South,Card,1,3.11,10.68
293,Suburb,Card,1,3.3,10.19
294,North,Card,2,5.58,15.1
295,South,Cash,3,8.25,16.13
296,West,Card,2,8.6,12.6
297,North,Card,3,1.58,13.73
298,Airport,Card,3,8.56,13.36
299,Central,Card,2,18.34,17.66
300,Central,Card,1,1.55,7.09
301,Suburb,Card,5,1.9,14.52
302,Downtown,Card,5,3.37,9.87
303,South,Cash,1,12.54,10.66
304,Downtown,Card,3,1.92,34.29
305,Central,Card,4,3.18,8.22
306,West,Card,1,2.23,11.6
307,North,Wallet,4,4.93,13.49
308,Downtown,Wallet,5,1.36,30.88
309,East,Cash,5,6.86,24.61
310,Central,Cash,2,10.02,20.05
311,Suburb,Card,1,3.96,26.03
312,Downtown,Card,3,3.23,21.7
313,East,Card,2,7.64,11.57
314,Airport,Cash,4,2.17,15.14
315,Airport,Card,1,4.22,22.49
316,South,Card,5,2.66,10.83
317,Downtown,Cash,3,3.64,13.25
318,South,Cash,3,8.12,12.42
319,North,Card,5,1.63,30.37
320,Airport,Wallet,1,0.73,45.69
321,Downtown,Wallet,1,4.89,25.73
322,Airport,Cash,5,2.3,16.72
323,North,Card,1,13.17,18.91
324,North,Card,1,3.83,38.37
325,West,Card,3,3.2,24.95
326,Downtown,Card,3,2.03,13.26
327,Central,Card,3,30.06,40.81
328,Suburb,Card,3,3.9,18.4
329,East,Cash,2,11.07,10.72
330,Suburb,Card,1,0.92,34.07
331,Airport,Cash,5,0.25,29.02
332,South,Cash,4,2.39,35.11
333,South,Card,4,1.13,10.47
334,Downtown,Cash,5,8.36,35.51
335,Airport,Cash,1,15.59,9.79
336,Central,Card,2,14.59,11.66
337,Downtown,Card,2,4.67,22.56
338,South,Card,5,0.95,9.24
339,East,Cash,1,2.39,11.66
340,Suburb,Cash,3,3.12,27.34
341,Downtown,Card,4,6.1,7.16
342,West,Cash,5,14.14,38.7
343,North,Card,4,8.69,9.67
344,Downtown,Cash,1,11.27,17.6
345,Suburb,Card,5,2.95,9.27
346,North,Card,4,8.43,7.93
347,South,Card,2,8.59,30.36
348,North,Card,1,3.39,33.15
349,Central,Card,3,3.38,8.53
350,Downtown,Wallet,3,3.45,10.5
351,West,Cash,4,11.16,8.05
352,North,Cash,1,3.67,17.98
353,Suburb,Card,2,4.85,11.17
354,Suburb,Card,5,6.18,13.79
355,Central,Cash,5,10.84,25.75
356,West,Wallet,4,3.86,8.86
357,North,Card,5,8.64,7.98
358,South,Cash,5,9.77,12.96
359,North,Card,4,7.53,28.0
360,East,Card,2,4.58,10.26
361,Central,Card,5,5.59,16.29
362,South,Card,2,0.97,30.83
363,Central,Cash,4,5.89,15.95
364,West,Card,5,3.9,72.46
365,Airport,Card,2,3.72,29.35
366,North,Cash,5,9.77,29.8
367,Central,Card,1,4.89,16.0
368,Central,Cash,2,3.54,13.92
369,East,Cash,3,9.09,22.6
370,Central,Cash,4,6.78,25.05
371,North,Card,3,0.29,20.07
372,Downtown,Wallet,5,6.1,38.23
373,Suburb,Card,3,6.39,14.04
374,West,Wallet,4,15.24,12.31
375,Suburb,Cash,4,7.79,19.3
376,Airport,Card,1,5.55,15.12
377,South,Cash,4,1.76,37.64
378,South,Card,1,12.95,23.03
379,Downtown,Cash,2,10.26,13.15
380,North,Card,3,9.34,12.48
381,West,Cash,4,2.95,30.82
382,Suburb,Card,5,1.8,18.36
383,West,Card,2,3.5,10.7
384,East,Cash,4,1.22,31.36
385,Suburb,Card,5,6.99,13.29
386,Suburb,Cash,1,15.92,33.39
387,North,Card,4,1.91,47.49
388,Airport,Card,2,5.74,17.08
389,West,Card,3,4.04,10.13
390,East,Card,3,10.97,15.38
391,East,Card,1,4.42,25.88
392,Airport,Card,3,14.07,16.94
393,Airport,Cash,3,18.43,15.69
394,West,Card,4,15.46,15.49
395,East,Card,3,9.09,32.57
396,East,Card,2,0.53,10.32
397,West,Card,4,9.06,9.16
398,Central,Card,5,11.91,13.48
399,North,Cash,4,6.07,22.91
400,South,Card,2,6.73,14.41
401,North,Card,3,1.86,17.79
402,Central,Cash,5,2.95,16.82
403,North,Wallet,2,10.64,13.77
404,Central,Card,4,7.59,9.2
405,Airport,Card,1,5.18,10.91
406,Central,Wallet,5,6.28,40.18
407,Downtown,Card,4,1.98,12.84
408,Suburb,Card,5,8.13,18.05
409,West,Cash,3,11.71,25.86
410,Suburb,Cash,4,9.42,14.43
411,West,Wallet,1,6.65,8.7
412,Central,Card,3,1.87,29.09
413,South,Card,1,3.39,27.14
414,Downtown,Card,5,1.71,17.95
415,Suburb,Cash,5,8.74,47.0
416,East,Card,5,9.16,30.75
417,Downtown,Card,5,2.68,8.01
418,West,Card,4,5.99,18.51
419,North,Card,2,5.07,42.11
420,East,Card,2,3.92,25.52
421,North,Cash,2,1.37,45.1
422,Central,Card,1,10.71,10.48
423,South,Cash,4,4.82,23.73
424,South,Cash,5,9.26,12.24
425,Downtown,Cash,2,5.79,37.28
426,Suburb,Cash,5,8.34,11.19
427,Central,Card,1,4.25,26.48
428,East,Card,3,11.99,44.1
429,North,Card,3,1.3,26.1
430,Airport,Card,3,2.63,23.13
431,South,Card,2,12.14,12.49
432,South,Card,1,0.38,7.16
433,Suburb,Card,3,2.86,6.54
434,Downtown,Card,2,6.13,34.44
435,Central,Card,3,15.19,18.67
436,Airport,Card,2,5.51,7.37
437,South,Card,5,3.93,26.55
438,Suburb,Card,3,5.11,20.71
439,Suburb,Wallet,4,1.32,48.26
440,East,Cash,1,9.61,18.57
441,South,Card,1,10.15,10.64
442,Downtown,Cash,2,0.92,28.21
443,East,Cash,5,2.36,15.57
444,West,Card,5,5.98,10.31
445,West,Card,1,15.08,16.47
446,Suburb,Cash,4,4.2,19.63
447,Suburb,Cash,1,3.71,15.1
448,Airport,Cash,5,2.81,7.25
449,West,Card,1,2.5,37.68
450,East,Card,4,1.91,15.44
451,Central,Card,3,4.8,5.9
452,West,Card,1,1.35,28.41
453,Suburb,Card,5,3.2,34.49
454,West,Card,2,7.25,15.66
455,Suburb,Card,2,4.17,28.07
456,North,Card,2,10.58,22.58
457,West,Card,1,5.87,15.29
458,Central,Card,2,1.11,35.28
459,South,Card,5,7.24,36.7
460,Central,Card,3,7.79,38.36
461,Suburb,Cash,3,1.38,13.93
462,East,Card,5,12.86,44.65
463,Central,Card,5,7.46,24.2
464,East,Card,3,14.85,19.11
465,Suburb,Cash,2,1.59,42.31
466,Central,Wallet,1,3.96,6.8
467,Central,Cash,2,6.11,13.71
468,East,Card,2,8.37,15.24
469,Downtown,Card,2,17.73,13.97
470,Airport,Wallet,5,4.37,25.31
471,South,Cash,3,2.85,27.6
472,Airport,Card,1,0.72,59.86
473,North,Card,1,6.35,67.48
474,East,Cash,1,14.98,13.95
475,Downtown,Cash,5,2.57,21.21
476,Suburb,Card,3,10.37,21.63
477,Airport,Card,4,4.83,9.69
478,Airport,Card,5,0.33,13.79
479,East,Cash,2,8.61,11.53
480,Airport,Cash,4,11.15,22.51
481,Airport,Cash,4,3.03,26.31
482,Suburb,Card,4,1.7,12.87
483,West,Cash,4,4.18,24.75
484,North,Card,3,7.77,18.67
485,North,Wallet,5,19.35,43.13
486,Suburb,Cash,5,9.88,18.46
487,Downtown,Wallet,3,17.24,23.89
488,West,Card,5,10.34,32.05
489,East,Card,1,3.42,23.93
490,Central,Card,2,11.8,21.38
491,South,Cash,5,14.31,8.77
492,East,Card,4,7.5,24.67
493,Suburb,Cash,2,4.44,21.49
494,Airport,Card,4,0.75,18.14
495,Downtown,Card,2,3.67,36.93
496,Airport,Card,5,13.25,9.77
497,Central,Card,3,5.62,37.2
498,Central,Card,5,3.35,27.45
499,East,Card,4,7.28,70.74
500,North,Cash,2,3.0,17.69
501,North,Card,4,6.37,27.77
502,East,Wallet,1,4.41,11.73
503,Airport,Cash,1,10.39,45.11
504,Central,Wallet,3,8.48,24.88
505,West,Card,5,2.39,41.18
506,West,Cash,5,13.23,38.04
507,North,Cash,2,5.16,7.16
508,Airport,Cash,3,1.46,21.6
509,Central,Card,3,2.81,14.72
510,Airport,Card,3,10.13,12.02
511,Downtown,Card,2,1.92,17.9
512,East,Card,3,7.33,18.74
513,Downtown,Card,4,7.06,22.04
514,South,Cash,4,1.74,12.37
515,South,Cash,4,4.9,55.36
516,Airport,Wallet,3,5.89,9.32
517,Central,Cash,4,4.04,10.36
518,Downtown,Card,1,6.17,10.47
519,North,Card,1,4.92,17.97
520,East,Card,2,3.89,52.17
521,West,Card,2,5.65,11.75
522,West,Cash,4,5.99,35.33
523,Suburb,Card,3,5.7,10.04
524,Downtown,Card,2,9.85,30.12
525,North,Card,5,8.86,38.03
526,North,Cash,5,9.68,25.18
527,West,Card,1,1.5,17.65
528,Central,Cash,5,6.75,17.03
529,South,Card,5,11.84,13.01
530,East,Card,4,11.99,24.56
531,East,Cash,3,13.6,27.7
532,West,Card,5,12.48,16.1
533,West,Card,4,7.63,7.65
534,East,Card,4,4.79,23.86
535,East,Card,2,4.52,50.58
536,East,Wallet,5,5.11,20.67
537,Central,Cash,4,9.94,18.01
538,Suburb,Card,3,6.25,25.82
539,North,Card,2,5.4,29.47
540,West,Cash,4,5.73,27.47
541,Central,Card,1,11.21,30.28
542,South,Cash,5,4.82,10.31
543,Downtown,Wallet,1,6.14,19.4
544,Suburb,Cash,2,0.95,15.56
545,South,Card,2,5.9,11.8
546,Downtown,Cash,2,3.66,44.67
547,West,Card,1,2.75,36.98
548,North,Card,2,1.36,14.84
549,Suburb,Card,4,4.4,13.72
550,West,Cash,3,2.12,31.67
551,Central,Card,4,4.48,12.56
552,Downtown,Card,4,3.7,18.05
553,North,Wallet,4,6.4,9.06
554,Downtown,Card,3,3.82,36.02
555,Central,Cash,5,2.08,33.79
556,West,Cash,3,6.12,12.04
557,North,Card,1,14.94,25.82
558,West,Card,2,4.41,11.25
559,South,Card,1,10.6,15.07
560,South,Wallet,2,9.36,22.97
561,South,Cash,5,12.47,15.15
562,South,Cash,4,2.9,14.72
563,Airport,Card,4,10.3,11.22
564,Airport,Cash,1,2.69,11.97
565,Central,Card,5,4.67,10.81
566,West,Wallet,4,8.85,16.82
567,Central,Card,2,4.72,7.79
568,West,Card,3,1.23,16.15
569,North,Cash,2,1.9,15.47
570,West,Card,3,1.5,16.86
571,Central,Cash,1,8.67,11.82
572,West,Cash,5,4.12,30.72
573,East,Cash,3,7.92,26.68
574,West,Card,4,4.68,35.5
575,North,Card,1,2.11,29.34
576,North,Card,1,5.99,14.24
577,Central,Card,2,1.57,29.45
578,Airport,Wallet,2,7.47,15.67
579,West,Wallet,5,1.63,37.94
580,Suburb,Card,2,4.85,58.43
581,North,Card,4,6.93,30.14
582,Downtown,Cash,4,0.96,16.22
583,East,Wallet,4,1.7,32.79
584,North,Cash,3,6.68,24.35
585,Downtown,Cash,4,7.79,15.13
586,Downtown,Cash,1,3.93,29.12
587,East,Cash,4,9.1,20.02
588,Airport,Cash,4,4.21,12.28
589,Suburb,Card,5,2.95,24.09
590,West,Card,3,7.16,31.03
591,North,Card,1,3.22,23.52
592,West,Card,3,0.87,14.81
593,Airport,Cash,1,3.36,32.81
594,North,Card,3,5.1,28.07
595,Downtown,Card,2,3.6,20.89
596,North,Card,2,10.15,15.53
597,North,Cash,3,14.65,26.21
598,Airport,Card,1,9.37,16.99
599,Central,Wallet,2,3.38,8.41
600,West,Card,3,5.06,29.2
601,North,Card,1,11.52,9.06
602,North,Cash,1,7.5,45.35
603,Downtown,Wallet,5,6.92,39.64
604,East,Card,4,4.4,81.82
605,West,Card,3,7.99,9.37
606,Airport,Card,2,2.46,28.27
607,North,Wallet,5,6.32,25.17
608,East,Card,3,5.38,22.64
609,Airport,Cash,3,1.97,11.69
610,Suburb,Cash,3,8.56,43.15
611,West,Cash,2,4.06,6.24
612,East,Wallet,2,1.92,15.81
613,Downtown,Cash,5,5.51,20.42
614,West,Card,5,1.67,29.61
615,Suburb,Card,2,0.62,33.11
616,North,Card,2,14.86,7.78
617,Suburb,Card,2,5.3,11.83
618,West,Card,3,7.81,35.66
619,South,Card,4,3.72,26.54
620,Central,Cash,5,10.2,58.13
621,Downtown,Cash,2,5.76,15.0
622,Suburb,Card,3,13.34,17.85
623,West,Cash,2,19.76,7.51
624,Airport,Card,2,0.9,28.89
625,Suburb,Cash,4,10.79,25.8
626,North,Wallet,5,10.54,37.79
627,West,Cash,1,3.76,27.47
628,Airport,Wallet,2,3.55,31.33
629,South,Card,3,2.67,11.77
630,Airport,Card,4,12.19,48.32
631,Downtown,Cash,4,12.44,14.89
632,Central,Card,3,11.15,18.36
633,West,Card,3,11.5,34.51
634,North,Card,4,4.7,22.66
635,Airport,Wallet,3,7.74,36.36
636,North,Card,1,3.99,52.45
637,Suburb,Cash,4,6.32,22.99
638,North,Cash,1,4.63,33.13
639,Suburb,Card,3,8.57,23.06
640,West,Card,5,6.03,29.2
641,South,Cash,2,0.14,9.35
642,South,Wallet,5,12.61,36.74
643,Central,Card,1,5.29,41.39
644,West,Card,3,10.58,17.26
645,Central,Card,3,5.78,7.99
646,Downtown,Card,4,6.36,19.27
647,East,Card,2,2.46,15.46
648,North,Card,1,1.07,9.05
649,Airport,Cash,1,6.67,17.38
650,Downtown,Card,4,1.7,21.07
651,Downtown,Wallet,2,14.66,16.07
652,East,Cash,5,1.37,12.57
653,Airport,Cash,1,6.63,12.75
654,East,Card,1,4.1,14.87
655,Airport,Card,4,9.58,49.01
656,Downtown,Card,1,1.06,13.29
657,East,Cash,2,1.66,17.71
658,South,Card,1,10.25,22.11
659,South,Card,5,3.55,16.0
660,West,Cash,3,3.96,9.28
661,Downtown,Card,1,13.24,11.34
662,East,Wallet,4,0.94,26.42
663,Suburb,Cash,1,11.58,18.28
664,Downtown,Card,5,9.94,18.75
665,Downtown,Card,2,2.46,41.84
666,North,Cash,1,2.98,19.7
667,Downtown,Card,3,6.42,15.02
668,East,Card,5,5.74,12.76
669,Downtown,Card,4,8.0,69.63
670,Central,Card,3,1.92,16.28
671,Downtown,Wallet,4,0.71,15.55
672,South,Card,3,8.58,19.16
673,North,Card,2,0.59,14.32
674,Downtown,Card,4,6.33,11.01
675,North,Card,4,8.36,6.67
676,South,Cash,2,4.09,35.84
677,Suburb,Cash,5,1.46,27.06
678,North,Card,4,4.14,12.57
679,South,Card,5,7.3,25.38
680,Central,Card,1,6.27,18.03
681,Suburb,Card,2,11.28,12.3
682,North,Card,2,7.87,14.78
683,Central,Card,4,11.29,12.92
684,West,Cash,4,3.98,16.29
685,Central,Card,5,7.0,46.47
686,Central,Wallet,3,1.37,14.87
687,Airport,Card,2,2.5,18.79
688,West,Card,4,9.89,25.35
689,Downtown,Wallet,1,9.99,52.52
690,South,Cash,1,2.22,5.98
691,Central,Cash,2,1.26,30.73
692,Airport,Card,3,1.12,24.11
693,West,Card,5,16.35,25.14
694,Central,Cash,4,14.58,29.81
695,Airport,Card,4,3.6,40.71
696,Downtown,Card,5,14.98,29.54
697,North,Card,1,1.09,32.93
698,East,Cash,2,2.26,65.51
699,Central,Wallet,4,9.2,26.52
700,East,Card,2,2.7,21.68
701,South,Card,2,7.51,26.59
702,Airport,Card,5,10.05,19.88
703,West,Cash,2,7.51,30.19
704,North,Cash,2,5.24,6.45
705,South,Wallet,4,10.71,15.55
706,West,Card,4,3.01,14.19
707,Airport,Card,4,2.5,28.72
708,West,Card,2,1.9,9.33
709,Suburb,Card,3,4.02,6.66
710,Downtown,Cash,1,7.4,34.63
711,West,Card,2,5.62,19.04
712,Downtown,Card,2,6.46,14.56
713,Airport,Cash,1,7.73,42.07
714,East,Cash,1,8.26,56.14
715,West,Card,5,1.26,29.79
716,Airport,Wallet,2,7.01,10.04
717,East,Card,4,2.47,11.14
718,South,Cash,3,0.62,13.06
719,East,Cash,2,6.58,23.96
720,East,Cash,2,2.48,75.93
721,South,Cash,2,5.7,7.87
722,North,Cash,5,3.39,32.94
723,Downtown,Cash,2,3.08,9.52
724,North,Card,4,1.76,49.06
725,West,Card,4,1.6,12.02
726,Airport,Cash,3,6.61,19.97
727,West,Card,2,2.66,20.73
728,West,Card,4,9.19,22.34
729,Suburb,Wallet,4,3.82,82.9
730,South,Card,3,9.64,26.22
731,Downtown,Wallet,1,2.78,22.77
732,South,Card,1,1.59,7.71
733,East,Card,2,8.51,32.87
734,West,Card,4,5.12,24.77
735,Downtown,Cash,1,5.19,25.78
736,Suburb,Card,3,3.17,16.0
737,West,Wallet,5,6.7,6.6
738,Central,Card,2,1.96,16.08
739,Suburb,Card,4,11.5,19.52
740,Central,Cash,4,7.34,39.79
741,West,Wallet,3,2.07,27.6
742,Central,Card,2,10.85,6.13
743,Downtown,Cash,5,14.01,10.49
744,Downtown,Wallet,3,6.52,13.82
745,Suburb,Cash,4,12.35,25.84
746,East,Cash,3,12.37,9.93
747,Airport,Cash,3,4.29,30.73
748,West,Wallet,2,1.31,28.43
749,Central,Card,1,3.73,12.76
