date,kwh
2024-04-05,310.3
2024-04-06,333.2
2024-04-07,300.7
2024-04-08,341.6
2024-04-09,294.1
2024-04-10,347.1
2024-04-11,317.3
2024-04-12,288.8
2024-04-13,322.9
2024-04-14,280.5
2024-04-15,328.5
2024-04-16,345.2
2024-04-17,337.5
2024-04-18,362.2
2024-04-19,298.0
2024-04-20,311.0
2024-04-21,303.5
2024-04-22,373.7
2024-04-23,345.9
2024-04-24,359.8
2024-04-25,351.3
2024-04-26,352.6
2024-04-27,320.3
2024-04-28,337.9
2024-04-29,387.7
2024-04-30,375.9
2024-05-01,380.6
2024-05-02,364.0
2024-05-03,303.9
2024-05-04,356.1
2024-05-05,322.3
2024-05-06,385.3
2024-05-07,357.3
2024-05-08,379.3
2024-05-09,379.4
2024-05-10,376.9
2024-05-11,357.8
2024-05-12,348.5
2024-05-13,412.4
2024-05-14,375.1
2024-05-15,403.4
2024-05-16,388.2
2024-05-17,368.3
2024-05-18,372.3
2024-05-19,392.8
2024-05-20,439.4
2024-05-21,447.1
2024-05-22,430.4
2024-05-23,417.4
2024-05-24,373.6
2024-05-25,383.1
2024-05-26,406.3
2024-05-27,408.7
2024-05-28,439.8
2024-05-29,435.9
2024-05-30,414.1
2024-05-31,388.3
2024-06-01,390.6
2024-06-02,389.5
2024-06-03,436.7
2024-06-04,408.1
2024-06-05,424.0
2024-06-06,450.8
2024-06-07,413.8
2024-06-08,393.2
2024-06-09,434.6
2024-06-10,448.6
2024-06-11,428.7
2024-06-12,414.0
2024-06-13,436.6
2024-06-14,415.5
2024-06-15,434.2
2024-06-16,420.9
2024-06-17,459.4
2024-06-18,437.0
2024-06-19,463.6
2024-06-20,462.2
2024-06-21,436.9
2024-06-22,411.0
2024-06-23,417.7
2024-06-24,473.1
2024-06-25,443.3
2024-06-26,464.3
2024-06-27,469.4
2024-06-28,432.9
2024-06-29,427.5
2024-06-30,415.1
2024-07-01,463.5
2024-07-02,468.5
2024-07-03,469.1
2024-07-04,462.3
2024-07-05,451.1
2024-07-06,429.0
2024-07-07,408.0
2024-07-08,464.7
2024-07-09,500.3
2024-07-10,478.2
2024-07-11,460.8
2024-07-12,427.8
2024-07-13,414.2
2024-07-14,444.5
2024-07-15,460.7
2024-07-16,458.8
2024-07-17,483.9
2024-07-18,502.0
2024-07-19,439.8
2024-07-20,449.6
2024-07-21,447.7
2024-07-22,430.5
2024-07-23,467.5
2024-07-24,468.8
2024-07-25,443.0
2024-07-26,433.2
2024-07-27,447.4
2024-07-28,450.7
2024-07-29,438.0
2024-07-30,499.6
2024-07-31,449.8
2024-08-01,455.5
2024-08-02,449.2
2024-08-03,430.0
2024-08-04,426.1
2024-08-05,455.8
2024-08-06,456.1
2024-08-07,455.8
2024-08-08,469.0
2024-08-09,416.3
2024-08-10,433.1
2024-08-11,427.2
2024-08-12,471.8
2024-08-13,438.5
2024-08-14,468.2
2024-08-15,463.7
2024-08-16,421.5
2024-08-17,417.3
2024-08-18,408.8
2024-08-19,450.6
2024-08-20,442.4
2024-08-21,418.1
2024-08-22,452.2
2024-08-23,420.0
2024-08-24,401.5
2024-08-25,410.2
2024-08-26,456.7
2024-08-27,454.8
2024-08-28,448.5
2024-08-29,418.5
2024-08-30,394.3
2024-08-31,407.5
2024-09-01,393.5
2024-09-02,432.3
2024-09-03,473.4
2024-09-04,415.5
2024-09-05,413.6
2024-09-06,381.4
2024-09-07,396.9
2024-09-08,354.8
2024-09-09,421.6
2024-09-10,428.8
2024-09-11,423.1
2024-09-12,444.1
2024-09-13,388.8
2024-09-14,411.1
2024-09-15,379.2
2024-09-16,457.9
2024-09-17,400.4
2024-09-18,415.7
2024-09-19,415.1
2024-09-20,367.9
2024-09-21,401.9
2024-09-22,351.3
2024-09-23,408.7
2024-09-24,418.9
2024-09-25,377.2
2024-09-26,404.9
2024-09-27,328.6
2024-09-28,352.9
2024-09-29,352.5
2024-09-30,363.5
2024-10-01,402.6
2024-10-02,427.7
2024-10-03,380.2
2024-10-04,341.9
2024-10-05,348.9
2024-10-06,333.3
2024-10-07,379.9
2024-10-08,356.8
2024-10-09,336.1
2024-10-10,346.3
2024-10-11,331.5
2024-10-12,326.3
2024-10-13,338.1
2024-10-14,340.1
2024-10-15,374.7
2024-10-16,357.3
2024-10-17,380.1
2024-10-18,317.9
2024-10-19,308.6
2024-10-20,280.1
2024-10-21,339.4
2024-10-22,329.6
2024-10-23,331.9
2024-10-24,327.8
2024-10-25,306.2
2024-10-26,273.3
2024-10-27,315.2
2024-10-28,336.4
2024-10-29,344.4
2024-10-30,321.2
2024-10-31,297.6
2024-11-01,314.0
2024-11-02,283.9
2024-11-03,267.2
2024-11-04,291.1
2024-11-05,334.3
2024-11-06,330.7
2024-11-07,330.9
2024-11-08,260.5
2024-11-09,271.1
2024-11-10,302.8
2024-11-11,318.8
2024-11-12,324.0
2024-11-13,295.0
2024-11-14,310.9
2024-11-15,239.3
2024-11-16,281.9
2024-11-17,231.1
2024-11-18,282.4
2024-11-19,302.7
2024-11-20,283.8
2024-11-21,283.6
2024-11-22,253.0
2024-11-23,256.4
2024-11-24,278.8
2024-11-25,285.4
2024-11-26,274.9
2024-11-27,308.0
2024-11-28,300.2
2024-11-29,235.6
2024-11-30,236.7
2024-12-01,302.4
2024-12-02,297.4
2024-12-03,282.6
2024-12-04,254.6
2024-12-05,267.3
2024-12-06,203.2
2024-12-07,201.0
2024-12-08,230.5
2024-12-09,268.2
2024-12-10,229.9
2024-12-11,283.2
2024-12-12,261.1
2024-12-13,190.3
2024-12-14,223.2
2024-12-15,218.4
2024-12-16,268.6
2024-12-17,279.4
2024-12-18,274.6
2024-12-19,243.0
2024-12-20,225.2
2024-12-21,239.0
2024-12-22,216.8
2024-12-23,241.5
2024-12-24,221.6
2024-12-25,268.0
2024-12-26,244.7
2024-12-27,217.8
2024-12-28,217.2
2024-12-29,230.5
2024-12-30,265.5
